date,nums
2019-05-19,0.0
2019-05-20,4.0
2019-05-21,6.0
2019-05-22,1.0
2019-05-23,9.0
2019-05-24,8.0
2019-05-25,1.0
2019-05-26,9.0
2019-05-27,0.0
2019-05-28,2.0
2019-05-29,1.0
2019-05-30,4.0
2019-05-31,2.0
2019-06-01,4.0
2019-06-02,4.0
2019-06-03,
2019-06-04,4.0
2019-06-05,5.0
2019-06-06,9.0
2019-06-07,8.0
2019-06-08,1.0
2019-06-09,6.0
2019-06-10,2.0
2019-06-11,7.0
2019-06-12,3.0
2019-06-13,2.0
2019-06-14,0.0
2019-06-15,4.0
2019-06-16,1.0
2019-06-17,0.0
2019-06-18,6.0
2019-06-19,7.0
2019-06-20,7.0
2019-06-21,6.0
2019-06-22,6.0
2019-06-23,7.0
2019-06-24,6.0
2019-06-25,9.0
2019-06-26,5.0
2019-06-27,9.0
2019-06-28,9.0
2019-06-29,4.0
2019-06-30,1.0
2019-07-01,0.0
2019-07-02,
2019-07-03,3.0
2019-07-04,8.0
2019-07-05,3.0
2019-07-06,7.0
2019-07-07,5.0
2019-07-08,3.0
2019-07-09,3.0
2019-07-10,1.0
2019-07-11,6.0
2019-07-12,7.0
2019-07-13,7.0
2019-07-14,3.0
2019-07-15,0.0
2019-07-16,8.0
2019-07-17,6.0
2019-07-18,7.0
2019-07-19,9.0
2019-07-20,9.0
2019-07-21,0.0
2019-07-22,2.0
2019-07-23,8.0
2019-07-24,1.0
2019-07-25,0.0
2019-07-26,2.0
2019-07-27,7.0
2019-07-28,3.0
2019-07-29,7.0
2019-07-30,6.0
2019-07-31,3.0
2019-08-01,5.0
2019-08-02,7.0
2019-08-03,3.0
2019-08-04,
2019-08-05,6.0
2019-08-06,1.0
2019-08-07,4.0
2019-08-08,0.0
2019-08-09,8.0
2019-08-10,8.0
2019-08-11,8.0
2019-08-12,1.0
2019-08-13,6.0
2019-08-14,3.0
2019-08-15,5.0
2019-08-16,3.0
2019-08-17,7.0
2019-08-18,0.0
2019-08-19,9.0
2019-08-20,3.0
2019-08-21,2.0
2019-08-22,6.0
2019-08-23,4.0
2019-08-24,0.0
2019-08-25,7.0
2019-08-26,0.0
2019-08-27,7.0
2019-08-28,
2019-08-29,5.0
2019-08-30,5.0
2019-08-31,4.0
2019-09-01,7.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,7.0
2019-09-05,4.0
2019-09-06,3.0
2019-09-07,0.0
2019-09-08,7.0
2019-09-09,3.0
2019-09-10,3.0
2019-09-11,8.0
2019-09-12,0.0
2019-09-13,2.0
2019-09-14,9.0
2019-09-15,3.0
2019-09-16,6.0
2019-09-17,5.0
2019-09-18,3.0
2019-09-19,2.0
2019-09-20,
2019-09-21,5.0
2019-09-22,1.0
2019-09-23,3.0
2019-09-24,3.0
2019-09-25,6.0
2019-09-26,1.0
2019-09-27,0.0
2019-09-28,9.0
2019-09-29,4.0
2019-09-30,5.0
2019-10-01,9.0
2019-10-02,
2019-10-03,1.0
2019-10-04,2.0
2019-10-05,0.0
2019-10-06,4.0
2019-10-07,5.0
2019-10-08,9.0
2019-10-09,3.0
2019-10-10,5.0
2019-10-11,8.0
2019-10-12,6.0
2019-10-13,5.0
2019-10-14,7.0
2019-10-15,
2019-10-16,
2019-10-17,2.0
2019-10-18,4.0
2019-10-19,9.0
2019-10-20,7.0
2019-10-21,1.0
2019-10-22,3.0
2019-10-23,6.0
2019-10-24,5.0
2019-10-25,9.0
2019-10-26,6.0
2019-10-27,0.0
2019-10-28,5.0
2019-10-29,9.0
2019-10-30,5.0
2019-10-31,3.0
2019-11-01,2.0
2019-11-02,5.0
2019-11-03,1.0
2019-11-04,3.0
2019-11-05,5.0
2019-11-06,7.0
2019-11-07,0.0
2019-11-08,5.0
2019-11-09,8.0
2019-11-10,1.0
2019-11-11,3.0
2019-11-12,6.0
2019-11-13,4.0
2019-11-14,7.0
2019-11-15,7.0
2019-11-16,6.0
2019-11-17,6.0
2019-11-18,6.0
2019-11-19,6.0
2019-11-20,3.0
2019-11-21,3.0
2019-11-22,6.0
2019-11-23,1.0
2019-11-24,9.0
2019-11-25,8.0
2019-11-26,6.0
2019-11-27,7.0
2019-11-28,5.0
2019-11-29,8.0
2019-11-30,4.0
2019-12-01,1.0
2019-12-02,3.0
2019-12-03,0.0
2019-12-04,9.0
2019-12-05,1.0
2019-12-06,9.0
2019-12-07,
2019-12-08,5.0
2019-12-09,
2019-12-10,1.0
2019-12-11,6.0
2019-12-12,0.0
2019-12-13,8.0
2019-12-14,6.0
2019-12-15,8.0
2019-12-16,7.0
2019-12-17,
2019-12-18,5.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-21,1.0
2019-12-22,
2019-12-23,5.0
2019-12-24,5.0
2019-12-25,2.0
2019-12-26,7.0
2019-12-27,5.0
2019-12-28,7.0
2019-12-29,7.0
2019-12-30,
2019-12-31,5.0
2020-01-01,6.0
2020-01-02,4.0
2020-01-03,3.0
2020-01-04,1.0
2020-01-05,7.0
2020-01-06,6.0
2020-01-07,7.0
2020-01-08,2.0
2020-01-09,0.0
2020-01-10,1.0
2020-01-11,5.0
2020-01-12,4.0
2020-01-13,3.0
2020-01-14,8.0
2020-01-15,
2020-01-16,6.0
2020-01-17,5.0
2020-01-18,1.0
2020-01-19,5.0
2020-01-20,7.0
2020-01-21,3.0
2020-01-22,2.0
2020-01-23,5.0
2020-01-24,0.0
2020-01-25,9.0
2020-01-26,
2020-01-27,
2020-01-28,7.0
2020-01-29,0.0
2020-01-30,
2020-01-31,9.0
2020-02-01,0.0
2020-02-02,7.0
2020-02-03,3.0
2020-02-04,5.0
2020-02-05,1.0
2020-02-06,4.0
2020-02-07,
2020-02-08,1.0
2020-02-09,3.0
2020-02-10,2.0
2020-02-11,8.0
2020-02-12,1.0
2020-02-13,3.0
2020-02-14,
2020-02-15,6.0
2020-02-16,3.0
2020-02-17,4.0
2020-02-18,3.0
2020-02-19,1.0
2020-02-20,4.0
2020-02-21,3.0
2020-02-22,5.0
2020-02-23,0.0
2020-02-24,6.0
2020-02-25,1.0
2020-02-26,6.0
2020-02-27,4.0
2020-02-28,
2020-02-29,6.0
2020-03-01,4.0
2020-03-02,0.0
2020-03-03,5.0
2020-03-04,1.0
2020-03-05,6.0
2020-03-06,4.0
2020-03-07,4.0
2020-03-08,
2020-03-09,1.0
2020-03-10,0.0
2020-03-11,9.0
2020-03-12,2.0
2020-03-13,2.0
2020-03-14,9.0
2020-03-15,
2020-03-16,4.0
2020-03-17,8.0
2020-03-18,2.0
2020-03-19,2.0
2020-03-20,4.0
2020-03-21,3.0
2020-03-22,7.0
2020-03-23,1.0
2020-03-24,
2020-03-25,8.0
2020-03-26,3.0
2020-03-27,8.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,1.0
2020-03-31,3.0
2020-04-01,8.0
2020-04-02,8.0
2020-04-03,8.0
2020-04-04,1.0
2020-04-05,0.0
2020-04-06,2.0
2020-04-07,4.0
2020-04-08,9.0
2020-04-09,1.0
2020-04-10,8.0
2020-04-11,1.0
2020-04-12,7.0
2020-04-13,8.0
2020-04-14,3.0
2020-04-15,2.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,5.0
2020-04-19,
2020-04-20,9.0
2020-04-21,
2020-04-22,1.0
2020-04-23,6.0
2020-04-24,3.0
2020-04-25,4.0
2020-04-26,0.0
2020-04-27,5.0
2020-04-28,5.0
2020-04-29,
2020-04-30,8.0
2020-05-01,5.0
2020-05-02,6.0
2020-05-03,4.0
2020-05-04,8.0
2020-05-05,0.0
2020-05-06,7.0
2020-05-07,7.0
2020-05-08,2.0
2020-05-09,5.0
2020-05-10,6.0
2020-05-11,8.0
2020-05-12,7.0
2020-05-13,8.0
2020-05-14,0.0
2020-05-15,5.0
2020-05-16,9.0
2020-05-17,
2020-05-18,8.0
2020-05-19,3.0
2020-05-20,1.0
2020-05-21,2.0
2020-05-22,2.0
2020-05-23,7.0
2020-05-24,3.0
2020-05-25,2.0
2020-05-26,1.0
2020-05-27,
2020-05-28,0.0
2020-05-29,7.0
2020-05-30,4.0
2020-05-31,2.0
2020-06-01,0.0
2020-06-02,4.0
2020-06-03,
2020-06-04,3.0
2020-06-05,7.0
2020-06-06,3.0
2020-06-07,3.0
2020-06-08,9.0
2020-06-09,4.0
2020-06-10,0.0
2020-06-11,7.0
2020-06-12,1.0
2020-06-13,2.0
2020-06-14,1.0
2020-06-15,
2020-06-16,
2020-06-17,5.0
2020-06-18,3.0
2020-06-19,
2020-06-20,8.0
2020-06-21,9.0
2020-06-22,6.0
2020-06-23,1.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,2.0
2020-06-27,2.0
2020-06-28,0.0
2020-06-29,
2020-06-30,3.0
2020-07-01,8.0
2020-07-02,7.0
2020-07-03,0.0
2020-07-04,3.0
2020-07-05,8.0
2020-07-06,6.0
2020-07-07,4.0
2020-07-08,9.0
2020-07-09,4.0
2020-07-10,3.0
2020-07-11,6.0
2020-07-12,6.0
2020-07-13,9.0
2020-07-14,7.0
2020-07-15,
2020-07-16,7.0
2020-07-17,7.0
2020-07-18,0.0
2020-07-19,4.0
2020-07-20,2.0
2020-07-21,8.0
2020-07-22,7.0
2020-07-23,4.0
2020-07-24,2.0
2020-07-25,7.0
2020-07-26,6.0
2020-07-27,9.0
2020-07-28,6.0
2020-07-29,
2020-07-30,2.0
2020-07-31,5.0
2020-08-01,6.0
2020-08-02,5.0
2020-08-03,
2020-08-04,1.0
2020-08-05,9.0
2020-08-06,9.0
2020-08-07,1.0
2020-08-08,6.0
2020-08-09,3.0
2020-08-10,5.0
2020-08-11,3.0
2020-08-12,3.0
2020-08-13,1.0
2020-08-14,6.0
2020-08-15,2.0
2020-08-16,1.0
2020-08-17,8.0
2020-08-18,1.0
2020-08-19,1.0
2020-08-20,6.0
2020-08-21,
2020-08-22,
2020-08-23,8.0
2020-08-24,7.0
2020-08-25,9.0
2020-08-26,4.0
2020-08-27,4.0
2020-08-28,
2020-08-29,2.0
2020-08-30,0.0
2020-08-31,
2020-09-01,
2020-09-02,9.0
2020-09-03,3.0
2020-09-04,
2020-09-05,5.0
2020-09-06,7.0
2020-09-07,8.0
2020-09-08,4.0
2020-09-09,8.0
2020-09-10,7.0
2020-09-11,5.0
2020-09-12,2.0
2020-09-13,2.0
2020-09-14,5.0
2020-09-15,0.0
2020-09-16,3.0
2020-09-17,2.0
2020-09-18,2.0
2020-09-19,5.0
2020-09-20,6.0
2020-09-21,8.0
2020-09-22,6.0
2020-09-23,2.0
2020-09-24,9.0
2020-09-25,2.0
2020-09-26,6.0
2020-09-27,8.0
2020-09-28,1.0
2020-09-29,1.0
2020-09-30,6.0
2020-10-01,2.0
2020-10-02,4.0
2020-10-03,8.0
2020-10-04,
2020-10-05,7.0
2020-10-06,7.0
2020-10-07,1.0
2020-10-08,1.0
2020-10-09,3.0
2020-10-10,1.0
2020-10-11,5.0
2020-10-12,7.0
2020-10-13,8.0
2020-10-14,4.0
2020-10-15,9.0
2020-10-16,
2020-10-17,8.0
2020-10-18,
2020-10-19,6.0
2020-10-20,8.0
2020-10-21,6.0
2020-10-22,8.0
2020-10-23,8.0
2020-10-24,5.0
2020-10-25,5.0
2020-10-26,3.0
2020-10-27,3.0
2020-10-28,2.0
2020-10-29,4.0
2020-10-30,0.0
2020-10-31,4.0
2020-11-01,8.0
2020-11-02,0.0
2020-11-03,4.0
2020-11-04,
2020-11-05,8.0
2020-11-06,4.0
2020-11-07,9.0
2020-11-08,8.0
2020-11-09,8.0
2020-11-10,6.0
2020-11-11,7.0
2020-11-12,
2020-11-13,5.0
2020-11-14,4.0
2020-11-15,3.0
2020-11-16,7.0
2020-11-17,3.0
2020-11-18,2.0
2020-11-19,7.0
2020-11-20,1.0
2020-11-21,2.0
2020-11-22,3.0
2020-11-23,2.0
2020-11-24,6.0
2020-11-25,
2020-11-26,6.0
2020-11-27,
2020-11-28,6.0
2020-11-29,
2020-11-30,8.0
2020-12-01,
2020-12-02,2.0
2020-12-03,2.0
2020-12-04,7.0
2020-12-05,9.0
2020-12-06,4.0
2020-12-07,5.0
2020-12-08,
2020-12-09,8.0
2020-12-10,5.0
2020-12-11,0.0
2020-12-12,8.0
2020-12-13,3.0
2020-12-14,2.0
2020-12-15,4.0
2020-12-16,8.0
2020-12-17,7.0
2020-12-18,7.0
2020-12-19,8.0
2020-12-20,2.0
2020-12-21,0.0
2020-12-22,6.0
2020-12-23,
2020-12-24,7.0
2020-12-25,5.0
2020-12-26,9.0
2020-12-27,
2020-12-28,4.0
2020-12-29,5.0
2020-12-30,2.0
2020-12-31,5.0
